City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,port hardy,50.6996,-127.4199,37.58,52,20,23.02,CA,1667857859
136,can,40.0333,27.0524,49.3,89,31,4.52,TR,1667857859
137,liwale,-9.7667,37.9333,66.51,95,8,5.01,TZ,1667857860
138,fereydun kenar,36.6864,52.5225,54.88,71,98,11.01,IR,1667857860
139,natchitoches,31.7668,-93.1335,85.98,51,0,3.44,US,1667857860
140,hithadhoo,-0.6,73.0833,81.19,78,88,18.14,MV,1667857861
141,ahipara,-35.1667,173.1667,61.03,88,82,14.85,NZ,1667857861
142,kozhva,65.1073,57.0459,27.41,96,100,7.2,RU,1667857861
143,avanigadda,16.0215,80.9181,69.87,80,6,5.01,IN,1667857862
144,grindavik,63.8424,-22.4338,42.75,87,75,14.97,IS,1667857862
145,hapur,28.7167,77.7833,70.11,68,3,4.45,IN,1667857863
146,bataipora,-22.2953,-53.2711,69.8,52,28,5.46,BR,1667857863
147,chifeng,42.2683,118.9636,32.56,41,51,5.23,CN,1667857864
148,qaqortoq,60.7167,-46.0333,23.63,91,100,5.59,GL,1667857864
149,igarka,67.4667,86.5833,17.71,95,100,7.14,RU,1667857865
150,cherskiy,68.75,161.3,-7.71,99,17,2.8,RU,1667857865
151,thompson,55.7435,-97.8558,6.96,72,20,6.91,CA,1667857866
152,yellowknife,62.456,-114.3525,7.32,85,75,9.22,CA,1667857866
153,hobart,-42.8794,147.3294,62.46,82,0,6.91,AU,1667857793
154,san lorenzo,-25.3333,-57.5333,83.59,32,20,7.0,PY,1667857866
155,hamilton,39.1834,-84.5333,65.64,24,0,9.22,US,1667857823
156,lorengau,-2.0226,147.2712,84.09,71,95,4.27,PG,1667857867
157,tasiilaq,65.6145,-37.6368,29.88,88,100,10.22,GL,1667857868
158,sitka,57.0531,-135.33,35.49,25,0,7.05,US,1667857868
159,bandarbeyla,9.4942,50.8122,77.92,74,1,4.56,SO,1667857869
160,touros,-5.1989,-35.4608,78.28,71,99,11.14,BR,1667857595
161,cidreira,-30.1811,-50.2056,62.38,81,30,13.56,BR,1667857869
162,bud,39.447,-86.1758,62.67,27,43,8.23,US,1667857870
163,mandera,3.9366,41.867,84.49,52,99,9.1,KE,1667857870
164,kedrovyy,56.1667,91.8167,27.01,97,99,3.96,RU,1667857871
165,preobrazheniye,42.9019,133.9064,37.99,79,3,8.5,RU,1667857871
166,salvador,13.8333,-88.9167,82.06,78,76,2.62,SV,1667857872
167,codajas,-3.8367,-62.0569,74.95,97,100,2.98,BR,1667857872
168,severo-yeniseyskiy,60.3725,93.0408,16.81,95,98,6.08,RU,1667857872
169,kimbe,-5.5502,150.1429,78.73,88,97,3.51,PG,1667857875
170,avarua,-21.2078,-159.775,73.45,78,75,6.91,CK,1667857876
171,lebu,-37.6167,-73.65,57.0,74,20,10.65,CL,1667857876
172,makakilo city,21.3469,-158.0858,83.61,59,40,18.41,US,1667857877
173,grand baie,-20.0182,57.5802,73.45,72,0,1.99,MU,1667857877
174,petropavlovsk-kamchatskiy,53.0452,158.6483,25.39,74,75,4.47,RU,1667857878
175,gorontalo,0.5412,123.0595,75.36,92,100,2.55,ID,1667857878
176,bambous virieux,-20.3428,57.7575,73.22,83,20,4.61,MU,1667857878
177,college,64.8569,-147.8028,19.8,69,100,4.61,US,1667857879
178,tilichiki,60.4667,166.1,17.69,93,100,6.33,RU,1667857785
